               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.061587,            0.019935,            0.027653,             0.76073,             0.48859,              0.4842,             0.24785,            0.036234,           0.0066926,            0.017278,            0.070078,           0.0033247,           0.0033247
                   1,            0.043053,             0.01317,            0.011067,              0.8883,             0.56291,             0.60337,             0.39589,            0.031047,           0.0051776,           0.0082213,            0.039946,           0.0065262,           0.0065262
                   2,            0.037936,            0.011544,           0.0086176,              0.9144,             0.56435,             0.69643,             0.46514,            0.026827,           0.0048269,           0.0071081,           0.0096821,           0.0095957,           0.0095957
                   3,            0.033459,            0.010919,           0.0072454,             0.67218,             0.76028,             0.73426,             0.54916,            0.021764,           0.0051975,           0.0070882,            0.009406,            0.009406,            0.009406
                   4,            0.030143,            0.010204,           0.0055125,             0.80429,             0.84932,             0.85986,             0.64021,            0.019216,           0.0041465,            0.005831,            0.009406,            0.009406,            0.009406
                   5,            0.027935,           0.0099467,           0.0053815,             0.92293,             0.79683,             0.91767,             0.72845,            0.018482,           0.0042708,           0.0036285,            0.009208,            0.009208,            0.009208
                   6,            0.026038,           0.0095617,           0.0046752,              0.9146,             0.80042,             0.90425,             0.74201,            0.017212,           0.0042628,           0.0044781,             0.00901,             0.00901,             0.00901
                   7,            0.025099,           0.0092564,           0.0043751,             0.94236,             0.92983,             0.97672,             0.78738,            0.016115,           0.0037006,            0.002791,            0.008812,            0.008812,            0.008812
                   8,             0.02401,           0.0089854,           0.0038098,             0.96886,             0.90696,             0.97758,             0.82707,            0.015497,           0.0037053,           0.0027145,            0.008614,            0.008614,            0.008614
                   9,            0.023114,           0.0087156,           0.0032423,             0.89284,             0.96191,             0.97828,             0.80813,            0.015634,           0.0036413,           0.0027603,            0.008416,            0.008416,            0.008416
                  10,             0.02224,           0.0085596,           0.0031428,             0.98032,             0.95199,             0.98486,             0.84263,            0.014768,           0.0036295,           0.0020018,            0.008218,            0.008218,            0.008218
                  11,            0.021662,           0.0083207,           0.0029016,             0.97167,             0.96706,             0.98681,             0.83603,            0.014062,           0.0032744,           0.0018037,             0.00802,             0.00802,             0.00802
                  12,            0.020831,           0.0081193,           0.0030249,             0.96119,             0.95409,             0.98458,             0.85235,            0.013663,           0.0034738,           0.0014361,            0.007822,            0.007822,            0.007822
                  13,            0.020363,           0.0080939,           0.0026702,             0.96234,             0.94861,              0.9832,             0.84383,             0.01335,           0.0032444,           0.0022673,            0.007624,            0.007624,            0.007624
                  14,            0.020219,           0.0079989,           0.0024842,             0.95657,             0.94424,             0.98141,             0.84664,            0.013117,           0.0033433,           0.0014138,            0.007426,            0.007426,            0.007426
                  15,            0.018859,            0.007642,           0.0022751,             0.93943,             0.95611,             0.97737,              0.8527,            0.012834,           0.0030761,           0.0013516,            0.007228,            0.007228,            0.007228
                  16,            0.018866,           0.0075512,           0.0019573,             0.96888,             0.97331,             0.98655,             0.86956,            0.012325,            0.003172,          0.00086615,             0.00703,             0.00703,             0.00703
                  17,            0.018404,           0.0074308,           0.0019693,             0.97687,             0.97552,             0.98868,             0.87703,            0.012175,           0.0030887,           0.0010204,            0.006832,            0.006832,            0.006832
                  18,            0.018013,           0.0073601,           0.0019844,             0.96555,             0.97102,              0.9897,             0.87126,            0.011962,           0.0030701,           0.0011887,            0.006634,            0.006634,            0.006634
                  19,            0.017742,           0.0071446,           0.0021505,             0.97829,             0.97791,             0.99012,             0.88555,            0.012073,            0.003017,           0.0010151,            0.006436,            0.006436,            0.006436
                  20,            0.017222,           0.0069699,           0.0018825,             0.97841,              0.9573,             0.98858,             0.87028,            0.011652,           0.0028978,          0.00092986,            0.006238,            0.006238,            0.006238
                  21,            0.017206,            0.006849,           0.0016299,             0.98288,             0.98147,             0.98999,             0.89063,            0.011576,           0.0028359,           0.0013971,             0.00604,             0.00604,             0.00604
                  22,            0.016488,           0.0067909,           0.0017262,             0.96631,             0.97416,              0.9878,             0.88421,            0.011202,           0.0028951,           0.0017341,            0.005842,            0.005842,            0.005842
                  23,            0.016221,           0.0065376,           0.0013857,             0.98238,             0.98293,             0.98876,             0.89516,            0.011232,           0.0028448,           0.0014611,            0.005644,            0.005644,            0.005644
                  24,            0.016233,           0.0066895,           0.0016667,             0.98599,             0.97285,             0.98836,             0.90549,            0.011073,           0.0028768,           0.0012124,            0.005446,            0.005446,            0.005446
                  25,            0.015761,           0.0065293,           0.0016232,             0.98178,             0.97884,             0.98818,             0.88557,            0.011316,           0.0029321,          0.00063633,            0.005248,            0.005248,            0.005248
                  26,            0.015665,           0.0065567,           0.0013012,              0.9544,             0.98198,              0.9903,             0.89943,            0.011043,           0.0027728,           0.0009213,             0.00505,             0.00505,             0.00505
                  27,            0.015305,           0.0063093,           0.0012744,             0.97988,             0.98097,             0.98909,              0.9117,            0.011116,           0.0028371,          0.00075172,            0.004852,            0.004852,            0.004852
                  28,            0.015183,           0.0062401,           0.0013074,             0.98267,             0.98694,             0.99071,             0.91049,            0.010397,           0.0026704,          0.00055454,            0.004654,            0.004654,            0.004654
                  29,            0.014857,            0.006119,           0.0011655,             0.98347,             0.98727,             0.99126,             0.90209,             0.01033,           0.0027135,           0.0010582,            0.004456,            0.004456,            0.004456
                  30,            0.014563,           0.0061759,           0.0011634,             0.98304,             0.98083,             0.98933,             0.90153,            0.010666,           0.0027332,           0.0008356,            0.004258,            0.004258,            0.004258
                  31,            0.014373,           0.0061829,           0.0011947,             0.98399,             0.98363,             0.98941,             0.90475,             0.01039,           0.0027295,          0.00068758,             0.00406,             0.00406,             0.00406
                  32,             0.01443,            0.005986,           0.0010853,             0.98561,             0.98103,             0.98823,             0.89752,            0.010537,           0.0028359,          0.00040818,            0.003862,            0.003862,            0.003862
                  33,            0.013738,           0.0059214,           0.0010152,             0.98776,             0.98278,             0.98983,             0.91676,            0.010125,           0.0027313,          0.00052115,            0.003664,            0.003664,            0.003664
                  34,            0.013548,           0.0059417,           0.0008867,             0.98396,             0.98235,             0.98939,              0.9147,            0.010134,           0.0027212,          0.00067118,            0.003466,            0.003466,            0.003466
                  35,            0.013503,           0.0058226,           0.0010567,             0.99023,             0.98278,             0.98929,             0.91262,            0.010064,           0.0026562,          0.00025667,            0.003268,            0.003268,            0.003268
                  36,             0.01338,           0.0057699,          0.00093335,             0.98323,             0.97754,             0.98905,             0.91327,           0.0099593,           0.0026757,          0.00050163,             0.00307,             0.00307,             0.00307
                  37,            0.013199,           0.0056467,          0.00089186,             0.98713,             0.97607,             0.98975,             0.91837,           0.0099579,           0.0026639,          0.00035342,            0.002872,            0.002872,            0.002872
                  38,            0.012873,           0.0055608,          0.00073381,             0.98332,             0.98638,             0.98842,             0.91362,           0.0098881,           0.0026406,           0.0004053,            0.002674,            0.002674,            0.002674
                  39,            0.012594,           0.0055238,          0.00079758,             0.97824,             0.98975,             0.98931,             0.92452,           0.0096179,           0.0026329,          0.00018597,            0.002476,            0.002476,            0.002476
                  40,            0.012387,           0.0053495,          0.00086099,             0.98651,             0.98541,             0.98922,             0.92524,           0.0097463,           0.0026376,          0.00015077,            0.002278,            0.002278,            0.002278
                  41,            0.012293,           0.0054278,          0.00070796,             0.98744,             0.98653,             0.98916,             0.91874,            0.009839,           0.0025789,          0.00015195,             0.00208,             0.00208,             0.00208
                  42,            0.012252,           0.0053772,          0.00072209,             0.98675,             0.98522,             0.98918,             0.92183,           0.0095495,           0.0025782,          0.00012059,            0.001882,            0.001882,            0.001882
                  43,            0.011823,           0.0052303,          0.00061479,             0.98916,             0.98389,             0.98911,             0.92067,           0.0096651,           0.0025945,           0.0001205,            0.001684,            0.001684,            0.001684
                  44,            0.011876,           0.0052646,          0.00063198,             0.98859,             0.98504,             0.98921,             0.91903,           0.0095727,           0.0025568,          0.00012079,            0.001486,            0.001486,            0.001486
                  45,            0.011383,           0.0051635,          0.00066994,             0.98832,             0.98487,             0.98932,             0.92982,           0.0094598,           0.0025159,           7.783e-05,            0.001288,            0.001288,            0.001288
                  46,            0.011181,           0.0050772,           0.0005029,             0.98877,             0.98423,             0.98934,             0.92914,           0.0093615,           0.0025622,          7.7906e-05,             0.00109,             0.00109,             0.00109
                  47,            0.011258,           0.0049134,          0.00050878,             0.98839,             0.98506,             0.98935,             0.92758,           0.0092643,           0.0025369,          5.8286e-05,            0.000892,            0.000892,            0.000892
                  48,             0.01127,           0.0049997,          0.00070235,             0.98896,              0.9829,             0.98899,             0.93027,           0.0092657,           0.0025319,          8.6519e-05,            0.000694,            0.000694,            0.000694
                  49,            0.010877,           0.0050208,           0.0004771,             0.98931,             0.98479,             0.98912,             0.93108,           0.0092167,           0.0024971,          0.00010333,            0.000496,            0.000496,            0.000496
